Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Malcolm Thomas,23,1,3,15,0,3,0,0,1,2,1,3,1,1,1,0,0,1,14.8748,,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,5,11.31,3.29
Trey Thompkins,21,1,24,119,24,61,4,13,5,7,4,24,3,3,3,6,10,57,23.54605882,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,15,11.72,3.41
Klay Thompson,21,1,66,1608,318,718,111,268,79,91,24,161,133,49,20,103,155,826,24.44211567,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,5,10.99,3.24
Tristan Thompson,20,1,60,1424,194,442,0,2,106,192,187,389,27,27,62,81,134,494,19.91427879,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,9,10.92,3.26
Jeremy Tyler,20,1,42,568,88,209,0,1,29,52,54,140,16,16,20,36,84,205,18.75991197,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,10,11.26,3.29
Kemba Walker,21,1,66,1792,281,767,69,226,168,213,30,234,289,60,20,119,79,799,25.17997768,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,7,10.87,3.16
Derrick Williams,20,1,66,1418,205,498,37,138,136,195,77,311,38,30,31,77,95,583,20.8315268,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,19,11.03,3.23
Jordan Williams,21,1,43,635,77,152,0,0,43,66,66,156,11,21,15,23,61,197,18.7265685,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,10,12.74,3.45
Quincy Acy,22,1,29,342,42,75,1,2,31,38,30,77,11,13,15,17,53,116,19.53786842,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,13,10.48,3.28
Harrison Barnes,20,1,81,2058,276,628,52,145,144,190,53,333,98,52,14,101,140,748,18.13447085,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,15,10.93,3.16
Will Barton,22,1,73,894,118,309,9,65,50,65,36,145,58,34,9,60,56,295,17.51553803,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,,12.5,3.6
Bradley Beal,19,1,56,1745,282,687,91,236,125,159,43,211,137,50,29,90,113,780,22.95455645,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,8,10.95,3.28
Jae Crowder,22,1,78,1353,141,367,63,192,47,73,35,187,94,63,17,49,128,392,17.10466962,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,20,11.45,3.37
Jared Cunningham,21,1,8,26,6,14,2,3,2,2,1,3,1,1,0,2,3,16,27.32792308,24,75.5,77,78.5,98,,,,,188,3.6,8.25,9,4,,
Anthony Davis,19,1,64,1846,349,676,0,6,169,225,165,522,63,75,112,89,158,867,27.95066576,1,81.25,82.5,89.5,108,,,,,222,7.9,9,8.5,,,
Andre Drummond,19,1,60,1243,208,342,1,2,59,159,169,457,30,59,95,57,144,476,25.68995656,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10,10.83,3.39
Kim English,24,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,14.65192875,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,,10.59,3.33
Festus Ezeli,23,1,78,1120,74,169,0,0,43,81,141,313,22,23,74,63,157,191,12.92354196,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,18,12.35,3.29
Draymond Green,22,1,79,1061,84,257,14,67,45,55,58,260,53,42,25,51,159,227,13.84908483,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,9,11.01,3.4
John Henson,22,1,63,827,162,336,0,3,56,105,116,297,31,19,42,47,83,380,27.26807376,14,81,82.5,89,112,30,142,25.5,137.5,216,8.6,9.25,10,5,,
Bernard James,27,1,46,457,53,103,0,2,25,41,52,131,6,12,38,18,64,131,19.42537418,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,6,11.84,3.4
John Jenkins,21,1,61,902,131,294,53,138,59,70,17,94,56,12,10,40,37,374,20.54114412,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,10,11.36,3.37
Orlando Johnson,23,1,51,619,72,180,36,94,23,32,20,110,47,11,9,29,51,203,18.07645719,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,13,10.98,3.25
Darius Johnson-Odom,23,1,4,6,0,4,0,1,0,0,1,4,1,0,0,0,0,0,19.66466667,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,17,10.76,3.21
Kevin Jones,23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,18.68250299,,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,17,11.94,3.6
Perry Jones,21,1,38,280,39,99,0,2,10,15,12,62,10,5,6,15,23,88,16.32876071,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,11,11.31,3.19
Terrence Jones,21,1,19,276,43,94,5,19,13,17,28,65,15,12,19,13,21,104,25.26532246,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,12,11.57,3.4
Kris Joseph,24,1,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,9.449185185,51,78,79,83,104,35,139,28.5,132.5,215,8.6,9,9,6,,3.46
Michael Kidd-Gilchrist,19,1,78,2025,281,613,2,9,140,187,131,455,117,54,70,101,164,704,20.34963901,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,6,11.77,3.18
Doron Lamb,21,1,47,577,60,163,14,37,20,34,8,46,32,13,0,26,52,154,11.99855286,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,2,11.12,3.41
Jeremy Lamb,20,1,23,147,24,68,9,30,14,14,5,18,5,2,2,6,13,71,23.01727211,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,5,10.98,3.25
Meyers Leonard,20,1,69,1206,151,277,3,7,72,89,80,255,33,11,38,49,168,377,16.22565672,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,19,11.34,3.41
Damian Lillard,22,1,82,3167,553,1288,185,503,271,321,42,257,531,74,19,243,172,1562,25.47435459,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,13,11.15,3.34
Scott Machado,22,1,6,21,3,6,0,1,2,2,0,1,6,2,0,8,0,8,11.94319048,,73,74,76,94.5,32.5,127,27,121.5,206,5.8,8.5,9.5,17,11.26,3.3
Kendall Marshall,21,1,48,702,56,151,23,73,8,14,4,42,143,22,4,57,48,143,13.35617521,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,,12.03,3.23
Fab Melo,22,1,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,8.346722222,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,9,12.14,3.44
Khris Middleton,21,1,27,475,62,141,14,45,27,32,4,50,28,15,4,11,53,165,17.85629895,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,4,11.45,3.47
Darius Miller,22,1,52,694,44,108,22,56,8,8,8,78,44,17,12,23,89,118,9.770409222,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,14,11.34,3.31
Quincy Miller,20,1,7,26,4,12,0,1,1,2,1,2,3,1,0,1,3,9,18.33846154,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,8,11.05,3.48
Arnett Moultrie,22,1,47,542,78,134,0,0,18,28,76,145,10,17,10,19,43,174,20.71752214,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,10,11.32,3.22
Kevin Murphy,22,1,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,11.63113462,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,11,10.97,3.42
Andrew Nicholson,23,1,75,1249,256,486,0,0,75,94,69,258,44,24,32,79,133,587,22.52980785,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,10,11.89,3.67
Kyle O'Quinn,22,1,57,638,101,197,0,1,30,45,65,209,52,11,26,37,107,232,21.98943103,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,,11.65,3.53
Miles Plumlee,24,1,14,55,5,21,0,0,3,4,12,22,2,0,3,3,5,13,20.12194545,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,15,10.64,3.36
Austin Rivers,20,1,61,1418,145,390,28,86,59,108,16,109,127,26,9,74,122,377,12.52097179,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,1,11.54,3.32
Thomas Robinson,21,1,70,1056,138,321,0,1,57,109,122,315,46,41,26,88,124,333,18.04165814,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,15,11.96,3.17
Terrence Ross,21,1,73,1239,186,457,65,196,30,42,35,144,53,43,14,48,122,467,18.97035028,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,2,11.78,3.28
Mike Scott,24,1,40,376,70,147,0,1,43,56,39,110,12,4,2,21,32,183,24.91528191,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,14,11.59,3.44
Henry Sims,22,1,2,5,2,3,0,0,0,0,2,2,0,0,0,1,1,4,35.8258,,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,7,12.33,3.44
Kyle Singler,24,1,82,2293,275,642,70,200,100,124,109,330,77,57,37,98,217,720,16.20415918,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,10,11.22,3.21
Jared Sullinger,20,1,45,892,111,225,1,5,47,63,92,264,35,22,22,29,154,270,18.67366592,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,9,12.77,3.81
Jeff Taylor,23,1,77,1507,172,399,53,154,75,103,51,150,63,47,15,48,136,472,16.13012011,31,78,79.25,78.25,101.5,40,141.5,33.5,135,213,4.2,8.25,9.75,15,10.87,3.29
Tyshawn Taylor,22,1,38,221,32,87,6,13,15,27,2,18,21,13,0,25,25,85,15.77846154,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,,11.48,3.2
Marquis Teague,19,1,48,392,43,113,4,23,9,16,3,44,63,9,7,35,47,99,13.14582653,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,8,10.65,3.19
Jarvis Varnado,24,1,13,58,3,7,0,0,2,4,2,9,3,1,2,6,10,8,4.030224138,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,3,11.61,3.37
Dion Waiters,21,1,61,1756,336,815,63,203,159,213,22,149,183,59,16,121,113,894,24.43651253,4,74.5,76,79.25,98,,,,,221,8.5,8.5,9.5,,,
Tony Wroten,19,1,35,272,33,86,4,16,21,29,13,28,43,8,4,29,34,91,16.64436765,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,,10.75,3.24
Tyler Zeller,23,1,77,2033,245,559,0,4,120,157,159,438,96,35,70,95,251,610,17.11177767,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,16,11.13,3.4
Steven Adams,20,1,81,1197,93,185,0,0,79,136,142,332,43,40,57,71,203,265,14.59675856,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,16,11.85,3.4
Vander Blue,21,1,3,15,2,4,0,1,1,5,0,3,1,0,0,2,1,5,6.142066667,,75.5,77.25,78,100.5,37.5,138,28,128.5,197,4.6,8.5,9.5,4,10.4,3.14
Lorenzo Brown,23,1,26,224,26,86,3,30,9,13,8,28,41,13,3,16,19,64,19.59447321,52,76,77.25,79,100,34,134,28,128,189,4,8.25,8.5,8,11.78,3.4
Reggie Bullock,22,1,43,395,43,121,22,73,7,9,11,54,12,9,1,13,26,115,15.13217722,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,11,11.33,3.31
Trey Burke,21,1,70,2262,341,897,111,336,102,113,37,208,396,42,6,131,145,895,22.2115924,9,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,8.25,8.75,3,11.2,3.16
Kentavious Caldwell-Pope,20,1,80,1583,182,460,59,185,47,61,38,156,55,75,12,28,145,470,16.58547947,8,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,8.5,9,7,10.6,3.12
Isaiah Canaan,22,1,22,252,31,87,18,55,21,29,7,24,22,8,4,21,25,101,18.7771627,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,16,10.98,3.22
Michael Carter-Williams,22,1,70,2414,427,1054,55,208,258,367,101,437,441,130,43,247,213,1167,27.06700663,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,8,10.68,3.22
Dionte Christmas,27,1,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,19.2360303,,76.25,77.5,81,102.5,33.5,136,27,129.5,211,7.1,,,3,10.83,3.21
Robert Covington,23,1,7,34,6,14,4,11,0,0,2,5,0,2,0,1,3,16,24.92247059,,78.25,79.5,85.75,106,36,142,29.5,135.5,209,4.7,9,8.5,9,11.69,3.34
Allen Crabbe,21,1,15,100,12,33,6,14,3,4,1,9,6,2,1,3,10,33,16.40367,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,10,10.67,3.32
Seth Curry,23,1,2,13,1,3,1,1,0,0,0,1,0,2,0,0,0,3,20.01292308,,73,75,76,97.5,,,,,179,9.6,8,8.25,,,
Brandon Davies,22,1,51,575,54,128,2,10,34,53,38,109,28,24,8,35,92,144,13.21508348,,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,9,11,7,11.22,3.5
Gorgui Dieng,24,1,60,818,113,227,1,1,59,93,103,300,39,30,50,54,108,286,23.15132029,21,81.75,82.75,87.5,111.5,,,,,230,5.4,9,10,,,
Carrick Felix,23,1,7,38,7,14,2,5,3,4,1,6,4,0,0,4,4,19,20.85465789,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,15,11.16,3.25
Jamaal Franklin,22,1,21,161,16,39,5,11,2,2,4,23,6,4,2,11,23,39,10.41856522,41,76,77.25,83.25,103.5,,,,,191,8.3,8.5,8.25,,,
Rudy Gobert,21,1,45,434,36,74,0,0,32,65,51,155,7,8,41,32,57,104,16.20759908,27,84.5,86,92.5,115,29,144,25,140,238,4.4,9.75,10,7,12.85,3.57
Archie Goodwin,19,1,52,533,76,167,5,36,37,55,25,87,20,20,11,44,45,194,17.09085929,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,1,10.75,3.27
Solomon Hill,22,1,28,226,17,40,7,23,6,7,9,41,12,5,2,13,19,47,11.69957522,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,14,10.77,3.19
Scotty Hopson,24,1,2,7,0,4,0,2,1,2,0,0,1,1,0,0,0,1,16.47542857,,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,10,10.47,3.18
Robbie Hummel,24,1,53,655,67,177,32,89,15,16,35,132,23,16,2,10,57,181,16.96705649,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,13,11.56,3.41
Ryan Kelly,22,1,59,1312,157,371,48,142,110,135,42,219,95,32,45,47,147,472,20.27197561,48,81.75,83.75,83.5,110,,,,,228,14.8,9,10,,,
Shane Larkin,21,1,48,489,52,137,12,38,16,25,11,42,71,26,1,39,46,132,15.44929243,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,12,10.64,3.08
Ricky Ledo,21,1,11,33,6,17,3,8,4,4,0,2,2,1,0,2,2,19,26.32224242,43,76.75,78,79.25,102.5,33.5,136,27,129.5,197,10.3,8.5,9.25,4,10.72,3.32
Ray McCallum,22,1,45,897,113,300,22,59,32,43,18,79,120,22,9,39,69,280,17.99304905,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,5,10.82,3.25
Ben McLemore,20,1,82,2187,255,679,95,297,115,143,53,235,82,45,18,96,201,720,15.43234979,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,6,11.87,3.27
Tony Mitchell,21,1,21,79,5,12,1,1,11,19,15,26,2,6,3,4,9,22,21.84370886,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,13,11.82,3.52
Tony Mitchell,24,1,3,10,3,5,0,1,0,0,1,1,1,1,0,0,0,6,38.5494,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,13,11.82,3.52
Shabazz Muhammad,21,1,37,290,57,124,3,11,26,40,24,53,6,8,1,16,24,143,23.30965517,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,10,10.99,3.32
Erik Murphy,23,1,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,6.813774194,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,13,12.19,3.57
Mike Muscala,22,1,20,215,31,73,0,3,14,14,17,52,7,3,10,12,29,76,19.30946512,44,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,8.5,9,5,11.76,3.44
Victor Oladipo,21,1,80,2487,392,936,74,226,248,318,43,329,327,129,37,256,210,1106,22.49587857,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,15,10.69,3.25
Kelly Olynyk,22,1,70,1400,234,502,40,114,99,122,140,365,109,35,27,106,227,607,23.04085357,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,5,11.42,3.59
Mason Plumlee,23,1,70,1275,199,302,0,3,122,195,99,308,60,49,55,77,171,520,22.03004706,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,14,10.89,3.29
Phil Pressey,22,1,75,1132,78,253,28,106,29,45,20,105,241,68,5,87,97,213,15.09214311,,69.5,71.5,74.25,92,38.5,130.5,33,125,177,4.7,7.75,9.75,7,10.86,3.13
Andre Roberson,22,1,40,399,33,68,2,13,7,10,36,94,15,19,10,19,74,75,12.81005263,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,10,11.36,3.34
Peyton Siva,23,1,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,12.80317411,56,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,8,9.75,15,10.59,3.16
Tony Snell,22,1,77,1231,129,336,57,178,31,41,19,124,68,29,15,44,84,346,14.83954833,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,7,10.36,3.25
James Southerland,23,1,4,30,5,15,3,6,1,2,0,8,0,1,2,1,3,14,25.20296667,,79,80,85,106,32,138,29,135,221,8.1,8,9.5,5,10.9,3.38
Adonis Thomas,20,1,6,37,6,14,1,5,1,1,0,3,3,0,0,1,6,14,16.35872973,,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,9.25,9.5,13,11.66,3.32
Hollis Thompson,22,1,77,1742,171,372,67,167,52,73,73,247,73,53,12,60,144,461,14.77819288,,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,6,11.72,3.38
Royce White,22,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-3.816444444,16,79,80,84,104.5,,,,,261,10.6,9.5,11.5,,,
Jeff Withey,23,1,58,684,69,129,0,1,52,73,49,150,26,15,50,20,73,190,18.54598099,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,10,12.49,3.47
Nate Wolters,22,1,58,1309,170,389,18,62,59,90,33,149,187,35,15,57,67,417,19.41382659,38,75.5,76.75,75.75,98,,,,,196,5.5,8.25,8.75,8,,
Cody Zeller,21,1,82,1416,172,404,0,1,146,200,118,353,92,40,41,87,170,490,19.74285028,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,17,10.82,3.15
Jordan Adams,20,1,30,248,35,86,10,25,14,23,9,28,16,16,7,14,24,94,20.79175,22,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,10.8,8.5,7.5,,12.13,3.5
Kyle Anderson,21,1,33,358,31,89,3,11,9,14,5,72,28,15,7,10,28,74,14.95767877,30,79.5,80.5,86.75,107.5,,,,,230,13.4,8.25,8.75,,,
Cameron Bairstow,24,1,18,64,3,14,0,0,4,5,6,8,1,2,1,3,8,10,8.939859375,49,80.75,81.75,84.75,107,33.5,140.5,31,138,252,8.7,8.75,9,,11.39,3.37
Jabari Brown,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,17.96471655,,75,76.25,80.25,100,32,132,28,128,202,6.1,9,9.25,,11.6,3.5
Markel Brown,23,1,47,781,76,210,17,64,47,57,16,107,39,31,12,27,57,216,15.92133675,44,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,4.2,8.25,9.75,,12.62,3.18
Jordan Clarkson,22,1,59,1476,267,596,38,121,131,158,56,191,206,51,12,96,109,703,25.74218835,46,75.25,77,80,98,38.5,136.5,33,131,186,4.3,8.25,9,,10.76,3.28
Spencer Dinwiddie,21,1,34,455,51,169,12,65,31,34,4,48,104,19,6,33,53,145,20.60450989,38,76.5,78,80.25,103,,,,,205,5.4,8.25,9,,,
Cleanthony Early,23,1,39,647,76,214,22,84,36,48,22,97,36,24,12,40,57,210,16.93312056,34,78,79.25,82.75,101.5,40,141.5,34,135.5,209,4.5,8.5,9,,11.15,3.18
Tyler Ennis,20,1,33,411,52,144,12,43,5,7,7,35,73,18,5,42,36,121,16.50645255,18,73,74.5,79.25,98,36,134,29,127,182,6.2,8.25,8.75,,11.12,3.3
Dante Exum,19,1,82,1817,145,416,83,264,20,32,27,131,198,41,14,118,147,393,11.43440066,5,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,6.4,8.5,9.5,,10.75,3.19
